series_success,fourth_down_converted,fourth_down_failed,first_down,yardline_100,ydstogo,yards_gained,score_differential,game_seconds_remaining,epa,wp,rush_attempt,pass_attempt,ep
1.0,1.0,0.0,1.0,46.0,1.0,2.0,0.0,246.0,2.152032,0.39679602,1.0,0.0,0.8150229
1.0,1.0,0.0,1.0,71.0,1.0,2.0,5.0,1311.0,2.0419793,0.6388067,1.0,0.0,-0.83614254
0.0,0.0,1.0,0.0,36.0,2.0,0.0,-12.0,473.0,-3.308588,0.052045636,0.0,1.0,1.4908222
1.0,1.0,0.0,1.0,44.0,1.0,3.0,-3.0,3043.0,2.2774293,0.5351265,1.0,0.0,1.3277149
1.0,1.0,0.0,1.0,30.0,3.0,13.0,0.0,2754.0,3.7618542,0.5304208,0.0,1.0,1.6288036
1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1503.0,1.931712,0.6525933,0.0,1.0,5.068288
1.0,1.0,0.0,1.0,44.0,1.0,2.0,7.0,937.0,1.9556761,0.8062179,1.0,0.0,1.584793
1.0,1.0,0.0,1.0,1.0,1.0,1.0,-14.0,862.0,2.4442666,0.09920257,1.0,0.0,4.555733
1.0,1.0,0.0,1.0,36.0,2.0,4.0,4.0,238.0,1.9033195,0.8030374,0.0,1.0,1.2368444
1.0,1.0,0.0,1.0,32.0,4.0,6.0,-4.0,45.0,1.237974,0.2347326,0.0,1.0,1.6455103
1.0,1.0,0.0,1.0,17.0,1.0,3.0,-4.0,21.0,0.28509608,0.3640643,0.0,1.0,2.5055902
0.0,0.0,1.0,0.0,20.0,1.0,0.0,-11.0,2025.0,-3.444859,0.25206447,1.0,0.0,2.8970342
0.0,0.0,1.0,0.0,42.0,7.0,0.0,-25.0,535.0,-2.132871,0.00032386815,0.0,1.0,0.41975662
1.0,1.0,0.0,1.0,46.0,1.0,1.0,-17.0,2324.0,2.045328,0.08758548,1.0,0.0,0.941914
1.0,1.0,0.0,1.0,73.0,1.0,3.0,20.0,1479.0,2.2943397,0.96384656,1.0,0.0,-0.5660378
1.0,1.0,0.0,1.0,37.0,4.0,12.0,17.0,971.0,3.5243504,0.9763833,0.0,1.0,0.9972198
0.0,0.0,1.0,0.0,17.0,17.0,0.0,-16.0,649.0,-3.4756827,0.03562245,0.0,1.0,2.620525
